name,ID,ALIGN,EYE,HAIR,SEX,ALIVE,APPEARANCES,Year
Phoebe Cuckoo (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,174,2001
Sage (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,172,1980
Valeria Richards (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,171,2002
Donald Blake (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,170,1962
Hela (Earth-616),Secret Identity,Bad Characters,Green Eyes,Black Hair,Female Characters,Deceased Characters,170,1964
Lilandra Neramani (Earth-616),No Dual Identity,Good Characters,Orange Eyes,Black Hair,Female Characters,Deceased Characters,170,1976
Henry Gyrich (Earth-616),No Dual Identity,Bad Characters,Green Eyes,Red Hair,Male Characters,Living Characters,170,1977
Dwayne Taylor (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,169,1989
Harold Hogan (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,166,1963
Redwing (Earth-616),Public Identity,,Yellow Eyes,,Male Characters,Living Characters,165,1969
Christopher Powell (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,165,1991
Harvey Elder (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Grey Hair,Male Characters,Living Characters,164,1961
Wolfgang von Strucker (Earth-616),Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Deceased Characters,164,1964
Dirk Garthwaite (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,164,1968
Pip Gofern (Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Male Characters,Living Characters,163,1975
Tony Masters (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,163,1980
David Lieberman (Earth-616),Secret Identity,Neutral Characters,Green Eyes,Brown Hair,Male Characters,Deceased Characters,163,1987
James Hudson (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,161,1978
Miles Warren (Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,Living Characters,160,1965
Kallark (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Blue Hair,Male Characters,Living Characters,160,1977
En Sabah Nur (Earth-616),Public Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,Deceased Characters,160,1986
Shiro Yoshida (Earth-616),Public Identity,Good Characters,Black Eyes,Black Hair,Male Characters,Living Characters,158,1970
Silver Sablinova (Earth-616),Secret Identity,Good Characters,Blue Eyes,Silver Hair,Female Characters,Deceased Characters,158,1985
Elvin Haliday (Earth-616),Secret Identity,Good Characters,Brown Eyes,Bald,Male Characters,Living Characters,158,1990
James Bradley (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,158,
Calvin Zabo (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,157,1963
Frederick Myers (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,157,1966
Mantis (Earth-616),Secret Identity,Good Characters,Green Eyes,Black Hair,Female Characters,Living Characters,156,1973
Marlene Alraune (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,156,1976
Rachel Leighton (Earth-616),Secret Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,Living Characters,156,1985
Veranke (Earth-616),No Dual Identity,Bad Characters,Green Eyes,Green Hair,Female Characters,Deceased Characters,156,2005
Nathaniel Essex (Earth-616),Secret Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,Living Characters,155,1987
Anthony Druid (Earth-616),Public Identity,Good Characters,Green Eyes,Black Hair,Male Characters,Deceased Characters,153,1961
Cassandra Lang (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Deceased Characters,153,1979
Beta Ray Bill (Earth-616),No Dual Identity,Good Characters,White Eyes,No Hair,Male Characters,Living Characters,153,1983
Samuel Sterns (Earth-616),Public Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,Deceased Characters,152,1964
Leech (Earth-616),Secret Identity,Good Characters,White Eyes,No Hair,Male Characters,Living Characters,152,1984
Glenn Talbot (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,151,1964
Bug (Earth-616),Public Identity,Good Characters,Yellow Eyes,Green Hair,Male Characters,Living Characters,151,1979
Peter Petruski (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Bald,Male Characters,Living Characters,150,1963
Julie Power (Earth-616),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Living Characters,150,1984
Giuletta Nefaria (Earth-616),Secret Identity,Bad Characters,Grey Eyes,Black Hair,Female Characters,Living Characters,149,1968
Robert Ralston (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,148,1963
Maximus (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,147,1966
Genis-Vell (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,147,1993
Hisako Ichiki (Earth-616),Secret Identity,Good Characters,Black Eyes,Black Hair,Female Characters,Living Characters,147,2004
Dmitri Smerdyakov (Earth-616),Secret Identity,Bad Characters,Variable Eyes,Variable Hair,Male Characters,Living Characters,146,1963
Eliot Franklin (Thunderball) (Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,146,1974
X-51 (Earth-616),Known to Authorities Identity,Good Characters,Red Eyes,Black Hair,Male Characters,Living Characters,146,1977
Madelyne Pryor (Earth-616),Public Identity,Bad Characters,Green Eyes,Red Hair,Female Characters,Living Characters,146,1983
Adolf Hitler (Earth-616),No Dual Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,145,1940
Herman Schultz (Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,145,1967
Noriko Ashida (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,145,2004
Chen Lu (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Bald,Male Characters,Living Characters,144,1963
Ulysses Klaw (Earth-616),Public Identity,Bad Characters,Red Eyes,Bald,Male Characters,Deceased Characters,143,1966
Cessily Kincaid (Earth-616),Secret Identity,Good Characters,Silver Eyes,Red Hair,Female Characters,Living Characters,143,2003
Kyle Gibney (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,142,1983
Jack Monroe (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,141,1953
Madeline Joyce (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,Deceased Characters,140,1943
George Tarleton (Earth-616),Public Identity,Bad Characters,White Eyes,Brown Hair,Male Characters,Living Characters,140,1967
Jocasta (Earth-616),No Dual Identity,Good Characters,Red Eyes,No Hair,Female Characters,Living Characters,140,1977
Peter Wisdom (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,140,1995
Jeffrey Mace (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,139,1940
Aquaria Neptunia (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,139,1947
Dragon Man (Earth-616),No Dual Identity,Good Characters,Grey Eyes,No Hair,Male Characters,Living Characters,139,1965
Narya (Earth-616),Secret Identity,Good Characters,White Eyes,Blond Hair,Female Characters,Living Characters,138,1979
Burglar (Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,137,1962
Dino Manelli (Earth-616),Public Identity,Good Characters,,Black Hair,Male Characters,Deceased Characters,137,1963
Peter Parker (Kaine) (Earth-616),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,Living Characters,137,1994
Nightmare (Earth-616),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,Living Characters,136,1963
Ronan (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,136,1967
Thomas Halloway (Earth-616),Public Identity,Good Characters,Brown Eyes,White Hair,Male Characters,Living Characters,135,1939
Jasper Sitwell (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,134,1966
Frank Payne (Earth-616),Secret Identity,Neutral Characters,,Bald,Male Characters,Living Characters,134,1977
Paladin (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,134,1978
Steel (Earth-616),Public Identity,Good Characters,,White Hair,Male Characters,Living Characters,134,
Mad Thinker (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,133,1963
Brian Calusky (Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,133,1974
Arthur Maddicks (Earth-616),No Dual Identity,Good Characters,White Eyes,No Hair,Male Characters,Living Characters,133,1986
Hedy Wolfe (Earth-616),No Dual Identity,,Hazel Eyes,Black Hair,Female Characters,Living Characters,132,1944
Isadore Cohen (Earth-616),Public Identity,Good Characters,,,Male Characters,Living Characters,132,1963
Dormammu (Earth-616),No Dual Identity,Bad Characters,Yellow Eyes,No Hair,Male Characters,Living Characters,132,1964
Makkari (Earth-616),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,Living Characters,131,1940
Marlo Chandler (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,Living Characters,131,1988
Percival Pinkerton (Earth-616),Public Identity,Good Characters,Brown Eyes,Grey Hair,Male Characters,Deceased Characters,130,1964
Quintavius Quire (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,130,2003
Marla Madison (Earth-616),No Dual Identity,,Brown Eyes,Brown Hair,Female Characters,Deceased Characters,129,1976
Cletus Kasady (Earth-616),Public Identity,Bad Characters,Green Eyes,No Hair,Male Characters,Living Characters,129,1991
Supreme Intelligence (Earth-616),No Dual Identity,Neutral Characters,Yellow Eyes,Green Hair,Male Characters,Living Characters,128,1967
Aragorn (Earth-616),No Dual Identity,Good Characters,Brown Eyes,White Hair,Male Characters,Living Characters,128,1968
Betty Dean (Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Deceased Characters,127,1940
Karnilla (Earth-616),Secret Identity,Neutral Characters,Purple Eyes,Black Hair,Female Characters,Living Characters,127,1964
Jacqueline Falsworth (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,127,1976
Caliban (Earth-616),Secret Identity,Good Characters,Black Eyes,No Hair,Male Characters,Deceased Characters,127,1981
Isaac Christians (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,127,1981
Brock Rumlow (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,126,1989
Paul Norbert Ebersol (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,125,1966
Annihilus (Earth-616),No Dual Identity,Neutral Characters,Green Eyes,No Hair,Male Characters,Living Characters,125,1968
Red Sonja (Earth-616),Public Identity,Good Characters,Brown Eyes,Red Hair,Female Characters,Deceased Characters,125,1973
Jonathan Hart (Earth-616),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,125,1976
Bambina Arbogast (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,125,1979
Sooraya Qadir (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,125,2002
Zeus Panhellenios (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,124,1949
Randolph Robertson (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,124,1968
Yao (Earth-616),Secret Identity,Good Characters,Brown Eyes,Bald,Male Characters,Living Characters,122,1961
Agatha Harkness (Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Deceased Characters,122,1970
Jack Tarr (Earth-616),Secret Identity,,Black Eyes,Black Hair,Male Characters,Living Characters,122,1974
Katherine Bishop (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,122,2005
Jason Wyngarde (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Grey Hair,Male Characters,Deceased Characters,121,1964
Walter Newell (Earth-616),Public Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,Living Characters,121,1967
Joanna Cargill (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,121,1986
Parker Robbins (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,121,2002
Rocket Raccoon (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,120,1976
Lyja (Earth-616),Secret Identity,Neutral Characters,Green Eyes,Green Hair,Female Characters,Living Characters,120,1984
Georges Batroc (Earth-616),No Dual Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,119,1966
Wyatt Wingfoot (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,119,1966
Henry Camp (Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,119,1974
Peter Quill (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,119,1976
Marrow (Sarah) (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Red Hair,Female Characters,Living Characters,119,1994
Vision (Jonas) (Earth-616),Public Identity,Good Characters,Gold Eyes,No Hair,Male Characters,Deceased Characters,119,2005
William Kaplan (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,119,2005
George Stacy (Earth-616),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Deceased Characters,118,1968
Mari (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,118,1979
Todd Arliss (Earth-616),Secret Identity,Bad Characters,Grey Eyes,No Hair,Male Characters,Living Characters,116,1968
Hammerhead (Joseph) (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,116,1972
Heinrich Zemo (Earth-616),Public Identity,Bad Characters,Blue Eyes,Grey Hair,Male Characters,Deceased Characters,115,1964
Emil Blonsky (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,115,1967
Arcturus Rann (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,115,1979
James Woo (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,114,1956
Frank Drake (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,114,1972
Callisto (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,114,1983
Dorma (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Auburn Hair,Female Characters,Deceased Characters,113,1939
Lonnie Lincoln (Earth-616),Public Identity,Bad Characters,Pink Eyes,White Hair,Male Characters,Living Characters,113,1988
Doop (Earth-616),No Dual Identity,Good Characters,Variable Eyes,Black Hair,Male Characters,Living Characters,113,2001
David Alleyne (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,113,2003
Hepzibah (Earth-616),Secret Identity,Good Characters,Green Eyes,White Hair,Female Characters,Living Characters,112,1977
Charlie Cluster-7 (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,112,2002
Samuel Sawyer (Earth-616),Public Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,Deceased Characters,111,1963
Jacques Duquesne (Earth-616),Known to Authorities Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,111,1965
Arcade (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,111,1978
Mary Walker (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,111,1988
Miguel Santos (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,111,1990
Christopher Summers (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,110,1977
Morris Bench (Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,110,1981
David Cannon (Earth-616),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,109,1963
Prosh (Earth-616),Secret Identity,Good Characters,Variable Eyes,No Hair,,Living Characters,109,1988
Roderick Kingsley (Earth-616),Public Identity,Bad Characters,Blue Eyes,Grey Hair,Male Characters,Living Characters,108,1980
Dominikos Petrakis (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,108,1981
St. John Allerdyce (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,108,1981
Mary MacPherran (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Living Characters,108,1984
Rita Wayword (Earth-616),Secret Identity,Neutral Characters,White Eyes,Silver Hair,Female Characters,Living Characters,108,1985
Angelo Espinosa (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,108,1994
Layla Miller (Earth-616),No Dual Identity,Good Characters,Green Eyes,Blond Hair,Female Characters,Living Characters,108,2005
Leland Owlsley (Earth-616),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,107,1964
Karl Lykos (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,107,1969
Jason Macendale Jr. (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,107,1981
Clay Harder (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,106,1948
Frigga (Earth-616),Secret Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Living Characters,106,1963
Ikaris (Eternal) (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,106,1976
Jack Power (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,106,1984
Katherine Power (Earth-616),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Living Characters,106,1984
Sharon Ventura (Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,Living Characters,105,1985
Nico Minoru (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,105,2003
Clive Reston (Earth-616),Public Identity,,Blue Eyes,Grey Hair,Male Characters,Living Characters,104,1975
Idie Okonkwo (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,104,2010
Robert Frank (Earth-616),Secret Identity,Good Characters,Brown Eyes,Grey Hair,Male Characters,Deceased Characters,103,1941
Elizabeth Twoyoungmen (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,103,1983
Everett Thomas (Earth-616),Secret Identity,Good Characters,Brown Eyes,Bald,Male Characters,Deceased Characters,103,1994
Danger (Earth-616),No Dual Identity,Good Characters,,No Hair,Female Characters,Living Characters,103,2005
Dorrek VIII (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,103,2005
Amadeus Cho (Earth-616),No Dual Identity,Good Characters,Black Eyes,Black Hair,Male Characters,Living Characters,103,2006
Phillip Masters (Earth-616),Public Identity,Bad Characters,Brown Eyes,Bald,Male Characters,Deceased Characters,102,1962
Joshua Foley (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,101,2003
Karl Mordo (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,100,1963
Eternity (Earth-616),Secret Identity,Neutral Characters,Black Eyes,No Hair,,Living Characters,100,1965
William Foster (Earth-616),Secret Identity,,Brown Eyes,Black Hair,Male Characters,Deceased Characters,100,1966
Leiko Wu (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Deceased Characters,100,1975
Chase Stein (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,100,2003
Howard Hanover (Earth-616),Public Identity,,,Black Hair,Male Characters,Living Characters,100,
Louise Grant (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,99,1946
Grand Vizier (Asgard) (Earth-616),Secret Identity,Good Characters,,White Hair,Male Characters,Living Characters,99,1965
Pyreus Kril (Earth-616),Secret Identity,Neutral Characters,White Eyes,Yellow Hair,Male Characters,Living Characters,99,1974
Acroyear (Earth-616),No Dual Identity,Good Characters,Grey Eyes,No Hair,Male Characters,Living Characters,99,1979
Yuriko Oyama (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,99,1983
Elijah Bradley (Earth-616),Secret Identity,Good Characters,Brown Eyes,Bald,Male Characters,Living Characters,99,2005
Frankie Raye (Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,Living Characters,98,1975
Jimaine Szardos (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,98,1976
Bethany Cabe (Earth-616),No Dual Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters,98,1978
Phillip Urich (Earth-616),Secret Identity,Bad Characters,Green Eyes,Brown Hair,Male Characters,Living Characters,98,1995
Delroy Garrett Jr. (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,98,1998
Anya Corazon (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,98,2004
Victoria Hand (Earth-616),No Dual Identity,Neutral Characters,Hazel Eyes,Black Hair,Female Characters,Deceased Characters,98,2009
Margaret Carter (Earth-616),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Deceased Characters,97,1966
Clay Quartermain (Earth-616),No Dual Identity,,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,97,1967
Ghost (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,97,1987
Jill Stacy (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,97,1997
Abigail Brand (Earth-616),Secret Identity,Good Characters,Green Eyes,Green Hair,Female Characters,Living Characters,97,2004
Carlie Cooper (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,Living Characters,97,2008
Paul Duval (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,96,1964
Blastaar (Earth-616),Secret Identity,Bad Characters,Grey Eyes,Grey Hair,Male Characters,Living Characters,96,1967
Jericho Drumm (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,96,1973
Ruth Aldine (Earth-616),Secret Identity,Good Characters,,Black Hair,Female Characters,Living Characters,96,2005
Azura (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,95,1940
Cyclone (Horse) (Earth-616),Public Identity,Good Characters,,,Male Characters,Living Characters,95,1948
Matthew Masters (Earth-616),Secret Identity,Good Characters,,Black Hair,Male Characters,Living Characters,95,1948
Luna Maximoff (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,95,1982
Silhouette Chord (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,95,1990
Attuma (Earth-616),No Dual Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,94,1964
Sally Blevins (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,94,1986
James Sanders (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Blond Hair,Male Characters,Living Characters,93,1969
Denis Nayland Smith (Earth-616),Secret Identity,Good Characters,,Bald,Male Characters,Deceased Characters,93,1973
Andreas von Strucker (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,93,1985
Patricia Tilby (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,93,1986
Michael Collins (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,93,1990
Groot (Earth-616),No Dual Identity,Good Characters,Black Eyes,No Hair,Male Characters,Living Characters,92,1960
Vashti Cleito-Son (Earth-616),Secret Identity,Good Characters,,White Hair,Male Characters,Living Characters,92,1965
Eric Williams (Earth-616),Public Identity,Bad Characters,Blue Eyes,Grey Hair,Male Characters,Living Characters,92,1968
Gaea (Earth-616),Secret Identity,Good Characters,,,Female Characters,Living Characters,92,1975
Raza Longknife (Earth-616),Secret Identity,Neutral Characters,One Eye,Orange Hair,Male Characters,Living Characters,92,1977
Rom (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,92,1979
Selene Gallio (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,92,1983
Norman Harold Osborn (Earth-616),No Dual Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,92,1985
Michiko Musashi (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,92,1992
Skaar (Earth-616),No Dual Identity,Good Characters,Green Eyes,Black Hair,Male Characters,Living Characters,92,2008
Ulik (Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,91,1967
Roxanne Simpson (Earth-616),Secret Identity,Good Characters,,,Female Characters,Deceased Characters,91,1972
Sinthea Shmidt (Earth-616),Public Identity,Bad Characters,Brown Eyes,No Hair,Female Characters,Living Characters,91,1984
George Washington Bridge (Earth-616),Secret Identity,Good Characters,Brown Eyes,White Hair,Male Characters,Deceased Characters,91,1991
Molly Hayes (Earth-616),Secret Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,Living Characters,90,2003
Klaus Voorhees (Earth-616),Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Living Characters,89,1963
Vanisher (Earth-616),Secret Identity,Neutral Characters,Green Eyes,Bald,Male Characters,Living Characters,89,1963
Skurge (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,88,1964
Arthur Parks (Earth-616),,Bad Characters,Variable Eyes,Variable Hair,Male Characters,Living Characters,88,1966
Bernadette Rosenthal (Earth-616),No Dual Identity,,Green Eyes,Auburn Hair,Female Characters,Living Characters,88,1980
Nathan Lubensky (Earth-616),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Deceased Characters,87,1980
David Haller (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,87,1985
Lemar Hoskins (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,87,1986
Donald Pierce (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,86,1980
Joseph Chapman (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,86,1981
